title,year,rating,description,genres
In Trousers,1979,10.0,"The one-act musical centers on Marvin, who has a wife and children. He recalls the past relationships he shared with, among others, his high school sweetheart and Miss Goldberg, his English teacher who let him play Christopher Columbus in the school play, and then reveals he prefers to be with men. Torn between his natural inclination and his desire not to upset his family life as he knows it, Marvin ultimately makes the decision he feels is best for him.",
Straw Man,2025,10.0,"After a night of tickle fights and pickle fights, Max wakes up on the floor to find his best friends have no idea who he is.",
Television,2025,10.0,A gorilla must fend off a horde of people who want to take his prized possession: a television.,
Why Am I Here?,2025,10.0,"A young woman wakes up in her bathtub with no memory of how she got there, triggering a chain of events that unravels her reality.",
You Don't Understand,2025,10.0,"A man is convinced that if he stops moving, he’ll explode- much like the bus in Speed (1994).",
Fingerbib,2025,10.0,"Tim Schwochow abandons his finger puppet web series, disheartened by the fact that no one is watching.",
Rain Check,2025,10.0,"Go behind the scenes of the short film Rain Check, a genre-bending, cerebral drama that was plagued by on-set tension and runaway egos.",
"KUROZOKU, la bataille pour CROWS",2025,10.0,,
Curta O Falso Prodígio,2024,10.0,,
Santa Inocencia,,10.0,,
Margarita,2025,10.0,,
I Beat Plants Vs Zombies 2 With ONLY BEANS,2024,10.0,Whoie attempts to beat all of Plants vs. Zombies 2 using only the beans that can be used in that game.,
This Is Not,2025,10.0,"When Ty attends his friend group's annual costume party, he becomes the target of mind games and humiliation from Trey, a charismatic newcomer with an underlying darkness.",
Vignettes,2024,10.0,Alex bleeds out at a get-together. Thom searches for a vanished shoe. Jimmy seeks revenge through mind control.,
The Doctor Who Escape Room: Team Third Doctor,2025,10.0,"The cast and crew of Doctor Who take part in an escape room challenge were they must solve puzzles and escape in under 70 minutes. In this addition Team Third Doctor (Katy Manning, Sadie Miller & Daisy Ashford) attempt to escape the room of doom! Featured as an extra on The Collection Season 7 BluRay boxset.",
The Websim Movie,2025,10.0,"In a world where the internet bends to imagination, Websim.ai becomes the gateway to an ever-evolving realm of virtual exploration. From nostalgic recreations of lost websites to surreal digital playgrounds, this experimental documentary dives deep into the minds of indie creators and digital artists reshaping the way we experience the web. Blending tech history, retro aesthetics, and interactive storytelling, Websim movie is both a love letter to the early internet and a bold look at the future of simulated webspace.",
Un Viaje Completo,2025,10.0,"Pollo lives in the living room of Pelao, unemployed and lost. One morning, he wakes up and unknowingly eats some 'special' brownies that will introduce him to a very peculiar character—an  insufferable Completo",
P.A. (Pirates Anonymous),2025,10.0,A group of retired pirates meet to discuss their good old days.,
What the Pintman Covets,2025,10.0,"Three old friends, visiting their old watering hole in the city for the first time in years, are faced with the reality of a changing world when the recent past comes back to haunt them.",
The Moldy Peaches Documentary,2009,10.0,Follow Adam Green and Kimya Dawson on their silly adventure as they create their first album.,
Ferozza,2024,10.0,"When Sigismund Von Beckmann, the head of the Kraken, is overthrown within his criminal organization by the cruel Ferozza, he must join forces with his worst enemy: Philippe Lascaze. Lascaze, aka Cerberus, is a former French agent who has given up his life as a spy to become a star of the silver screen. The two of them will do everything in their power to thwart the plans of the cruel Ferozza and her deadly virus.  Ferozza is an ode to the spy craze of the 1960s - a tribute directly inspired by the words of French dialog legend Michel Audiard and the animal presence of James Bond. Enjoy this sun-drenched spy comedy, where the supporting cast are stars in their own right.",
Plumpin,2025,10.0,Meet Plumpin!  A character from the minds of Ivan Dixon and the team at Studio Showoff.  This animated short film premiered at Pictoplasma 2025 and went on to screen at multiple festivals worldwide. It won Best Australian Animation at MIAF. It was scored by ‪Felix Colgrave‬ and animated by ‪Studio Showoff‬,
Les Semelles du quartier,,10.0,"In an inner courtyard of a working-class neighborhood, in the heart of the 1950s, Charlotte discovers a barefoot, inconsolable child. She sets out to retrieve his pair of shoes, hanging from an electrical wire above their heads. Soon, neighbors of all kinds join the effort. But the task proves much more difficult than it first appears.",
ORIGAMI,2025,10.0,,
Livet er en Lek,1996,10.0,,
My Dead Dad's Funeral,2025,10.0,"Riley needs to spread her estranged father’s ashes at his childhood home, but her dark day takes a bizarre turn.",
Midnight Snack,2025,10.0,"Cassy is awoken by her sleep paralysis demon. She doesn't scream. Instead, she invites him over for the sleepover of a lifetime.",
Alerte à Saint-Malo,2024,10.0,,
O Grande Encontro de Ana Maria Pasca e Gregor Mendel (póstumo),,10.0,,
L'empreinte du Coeur,2025,10.0,,
Million Dollar Extreme Presents: Extreme Peace,2025,10.0,"After 10 years, Sam Hyde, Nick Rochefort, Charls Carroll, and Erick Hayden ARE BACK! The most controversial sketch comedy show of the decade returns with 6 brand new 30-minute episodes!",
BØDE,2023,10.0,,
The Moving Pyramid,2001,10.0,"A charming animated short that tells the story of corruption, power and revolution. This short combines traditional, papercut and computer animation and was completed in two years using Softimage software.",
Making Taro Talk: A Documentary,2025,10.0,"A group of undergraduate students at UC San Diego learn the difficulties of creating an audio animatronic. Faced with budget and time constraints, these students embark on a journey filled with comedic moments, setbacks, and betrayal to get their animatronic named “Taro” to talk.",
SpaceShip,2025,10.0,Four spacemen aboard the Star of Rumbek starship get into some trouble on a seemingly boring day of space travel...,
Potępieniec,2025,10.0,The condemned Jacob Hoffman leaves Hell for six days as part of a leave of absence for good behavior. And he is given the demon Azazel as a guardian to watch over him during his stay on Earth. But it turns out that Hoffman's past inevitably begins to complicate the whole situation.,
La Théorie verte,2025,10.0,,
Fiasco,2025,10.0,A former actor whose glory years have passed is dealing with the difficulties that come with failure.,
RAVIE,,10.0,,
Hot Tub Ticonderoga,2024,10.0,"An epic adventure featuring two fine young men, a time-traveling hot tub, and the year 1775.",
You're Toast,2025,10.0,"Aging spy AGENT JONES is determined not to send his protégé, PUGSLEY, onto the field - out of fear of losing her. After being sent on a seemingly routine mission, Jones unexpectedly comes face to face with his biggest challenge yet. Can he, against his overwhelming instincts, trust the younger generation of spies to help him so that he can finally find peace.",
Pinch of Fantasy,2025,10.0,"After a documentary he made about the death of his mother bombs at a festival, Dylan is sent on a path of redemption by a fellow film buff.",
Before the Third Rooster Calls,2025,10.0,"During interrogation, the captured young man admits to setting all of the village's wheat supplies on fire. Fully aware that his punishment will be death, he proceeds to give reasons for his act, and those reasons will make everyone in the room question themselves.",
Saturnalia XLV,2025,10.0,"After the death of esteemed philosophy teacher Angel Dimitrov, the administration of the National High School of Ancient Languages and Cultures launches an all out investigation in search of the killer",
Legend of Fry-Roti: Rise of the Dough,2025,10.0,"On her 25th birthday, a biracial Navajo-Bengali woman hopes for a quiet celebration until her two aunties arrive unannounced igniting a chaotic bread-making battle that forces her to confront culture, family, and the recipe for belonging.",
Horse Heaven,2025,10.0,Robbies horse gets eaten by a dinosaur and its his duty to go to Horse Heaven and get it back!,
Chimère,2025,10.0,,
Speed Demon,2025,10.0,,
Clippy & Me: Cutting Edge,,10.0,"Clippy, the coolest kid in school, and his best friend Cleetus work together to stop Seth, the school bully, from ruining Clippy's reputation and taking his spot at the top of the social food-chain. But they'll have to be careful! Cleetus has one big weakness: tomatoes.",
Bat-killer,2025,10.0,"After the the Wayne parents were shot dead, Bruce Wayne  the son of then instead of becoming a superhero, he becomes a killer to get his revenge. The good joker gets hired to cheer him up but becomes one of the bat-killer’s victims",
Pandora's Paradox,2024,10.0,"When two sisters, Mia and Maya, encounter a mysterious box in the middle of the forest, they unintentionally release multiple monsters trapped inside. Together, they must capture all the monsters and place them back in the box and overcome the challenges they face along the journey.",
Mad Mask,2025,10.0,"A bartender, a serial killer who skins his face and wears it like a mask after killing a guest. One day, he runs into a suspicious man drinking alone at a bar. After killing him and wearing his face like a mask, the bartender soon becomes engulfed in a nightmare fantasy. In the fantasy, he encounters himself, who is much more cruel and bizarre than usual, and finds out that the man is a much crazier man than he is. His face clings to his skin of a bartender, and his madness is at its peak.",
Quiproquo,2023,10.0,,
Le Scénario de l’Amour,2025,10.0,,
Yarub,2018,10.0,Yarub’s door leads to surreal worlds inspired by Arab myths and legends in 11 short animated episodes.,
Helium!,2025,10.0,,
the wheel killer,2025,10.0,"While a civilian is spending time at the skate park, a sinister man in a wheelchair attempts to murder him.",
Sunburst,2025,10.0,A hypochondriac must reckon with his decidedly fleeting mortality,
The Chill Tapes,2025,10.0,"With his trusty cameraman and a fistful of wilting tulips, a B-rate film student zig-zags through campus on the hunt for his latest infatuation.",
The Stork,,10.0,"The Stork is a character-driven comedy about the well-intentioned yet utterly clueless parents of a queer woman hoping to start a family through artificial insemination with Norwegian sperm ordered online — a popular route for many queer couples. When the crucial delivery arrives and their daughter isn’t home, her parents step in to help… only for the sample to be accidentally destroyed. Caught in an awkward (and decidedly unsticky) predicament with the delivery driver, the trio scramble to fix their mistake before she finds out. As they debate increasingly absurd solutions, their misunderstandings — though loving — reveal a hilarious clash of good intentions and ignorance. Through chaos, confusion, and misplaced determination, The Stork explores how far parents will go to protect their child’s happiness. It’s a heartfelt, mischievous story about unconditional love, acceptance, and the messy beauty of trying your best — even when you haven’t quite got a clue.",
Le Dernier Arrivant,2025,10.0,,
Xhizito,2025,10.0,"Xhizito: Twisted Reflections is a work of journalistic autofiction that blends investigative depth with a fantastical veil of anonymity. At its core, Xhizito is not a character or a place—it’s a sound, a rhythm, a word charged with plastic identity and fluid meaning. Its phonetic expressiveness evokes ambiguity, twisting itself into something elusive and serpentine. But what, exactly, is Xhizito? In this first chapter of a larger enigma, we delve into the heart of a phenomenon that resists definition, seeking answers in echoes, masks, and mirrors.",
Modern Friends,2025,10.0,A vertical silent comedy.,
Ping Pong Bang!,2025,10.0,,
Life,2025,10.0,The story of a young man completing his 'To Do' list.,
promise? promise.,2024,10.0,Longtime friends Cyrus & Kit face the trials and tribulations of growing old.,
Mountain Friends,2025,10.0,A new short film from Jon Millstein and Jon Mackey.,
La Sfida del Bechdel test,2025,10.0,,
Found Footage Festival: 20th Anniversary Show,2025,10.0,"Joe Pickett (The Onion) and Nick Prueher (Late Show) have over 14,000 VHS tapes in their collection and have been taking viewers on a guided tour through their latest and greatest finds since 2004. To celebrate two decades of this VHS nonsense, Joe & Nick will serve up their all-time greatest finds, including the dumbest exercise videos, the craziest public access shows, and updates with the most wonderful weirdos they’ve met along the way.",
Una película con suerte,2025,10.0,"David and Enrique have been friends for over 15 years. Both film lovers, they decide to venture to the Atacama Desert to shoot a feature film. With no acquaintances, no locations, no actors, and only $11,000 and a lot of enthusiasm, they travel to Chile for 21 days with the dream of making a movie. Everything seems to be going well until, on the last day of filming, a tragic accident ends their friendship.",
Historias de Terror en una Universidad Pública,2024,10.0,A group of audiovisual communication students enters the photography studio for a lighting practice. What they didn't know was that a curse was haunting the studio. Will they have a chance to escape?,
This Will Never Work,2025,10.0,"THIS WILL NEVER WORK is about a Black family coming together to have an intervention for Amanda's drinking problem. They've hired a therapist named Trevor (a white man, not that it matters), written emotional letters, and now they sit and wait for Amanda to arrive. But when she does, Trevor realizes that the family hasn't exactly been honest with him. ""I think I should leave,"" he says. But listening isn't this family's strong suit, and they've already prepared for battle. The intervention turns into a whodunnit of all the family's drama and trauma. As we flash back and forth from contested family memories to the claustrophobic intervention room, we'll piece together the mysteries that haunt this family.",
Cohousing,2025,10.0,"When a headstrong teen with dreams of the big city finds out that a developer wants to buy her neighborhood, she must convince her wacky cohousing community to sell, in order to get the cash to finance her goals.",
Efflorescence,2025,10.0,"LaLa has turned vegan as an act of love to Johnny, the love of her life. But after binging rare greenery at a flower shop to stop her everlasting hunger, she finds herself turning into a flesh-eating human plant, same night she’s expected to meet her lover’s vegan posse.",
Paperback,2025,10.0,"Diane, a total introvert, is obsessed with lurid crime-romance paperbacks, longing for passionate, dangerous love to sweep her off her feet. One day, she gets her wish when Razor appears—a tattooed, cigarette-smoking butch who seems like she walked off the pages of one of her novels. Soon, Diane must decide whether she really wants her fantasies to become reality.",
Dumm Love,2025,10.0,"Danny, a socially awkward teen, uses a dummy to practice for his date with Sammy.",
Litlle White Lies,2025,10.0,The head-over-heels teenager Janson pretends to be interested in romance novels to impress his bookworm crush Lucy.,
The Clique,2025,10.0,"A group of friends in high school decide to go camping in a remote location deep in the woods. What they don’t yet understand is that someone (or something) is watching them. The group begin to slowly notice mysterious happenings throughout their campsite. Things go missing, and slowly, one by one, the people do too.",
Team Super,2023,10.0,"Green Guardian and his sidekick Purple Nurple form Team Super a dynamic duo that defends the city from real criminals with the greatest superpower of all, the power of friendship. Unfortunately their unconventional methods lead them to the wrong side of trouble.",
'Will You',,10.0,"It’s that time of week again, date night, but while Mia and Finlay’s relationship is hanging by a thread, the most unexpected things can and will happen.",
The Transcendental Call Girl Centre,2025,10.0,"A woman, Denise, suspects her husband, Mark, of intellectually cheating on her using The Transcendental Call Girl Centre so she hires a private detective.",
DIES MIRABILIS,2024,10.0,"Believing she was returning to her homeland, the queen mistakenly landed in the French city of Cannes. Her long journey back, marked by unexpected encounters, would profoundly transform her view of the world — and perhaps even ours...",
No Words: The Art Of Photography,2025,10.0,Follow reporter Francesco Croquete Margharette on his comical journey through the world of photography.,
Break a Leg,2025,10.0,"After a long and obsessive casting process, a team of determined filmmakers finally secure the perfect lead actor for their movie. But on the first day of shooting they realise  a mistake has been made with their casting.",
The Photographer,2020,10.0,"The boy with talent in photography arrives to summer camp. The main magic of his photos is that he can make couples from people on his works. But when he falls in love for the first time, couples from his other works, except for him and his love interest, start to separate and argue with each other. How can he combine his talent of making couples from his other characters of his photos and to save his own first love?..",
Ритмы мечты,2025,10.0,"Varya lost her hearing several years ago due to an accident. But, despite the tragedy, she continues to pursue her favorite hobby - dancing. Now her dream is to get to the most important dance competition in the country and, of course, win. Varya meets Nik, a famous dancer and blogger. A friendship develops between the guys, and they decide to compete at the competition together. But Nik's wealthy and influential mother does not accept her son's choice, which deprives the boys of important financial support. Varya and Nik will have to find adult solutions on their own to follow their dreams. Their ""team"" on this journey will be Varya's dad, Toshka, the girl's smart friend, and Pegasus, a charismatic street dancer. They are all united by faith in victory, hope that the impossible is possible and, of course, a love of dancing. It is she who pushes young dancers to answer the main question for them: ""Can I dance better than myself?""",
The Whisperer,,10.0,"Jim is a former dog trainer famous for his TV show ""Jim the Charming"", but his revolutionary methods are a thing of the past and no one seems to remember him anymore. However, everything changes when he receives a letter inviting him to Tuixent, a remote village in the Pyrenees, to face a unique case that could make him famous again.",
Lien Sociaux,2022,10.0,"“Lien Sociaux” follows Benoît, a lonely teenager trying to make friends at his new high school. He connects with Arthur and Henry, two popular students, but soon discovers their true nature when they begin bullying Nadège, a vulnerable classmate. Disturbed by their cruelty, Benoît distances himself and finds himself alone once more. Refusing to remain silent, he embarks on a personal journey to understand their behavior and try to bring about change. Through Benoît’s struggle, the film thoughtfully explores the complexity of teenage social dynamics, the pressure to conform, marginalization, and the deep need for belonging. It also examines the double-edged role of social media — as a tool for connection and exclusion alike. Between toxic friendship and moral courage, Social Bonds offers a human and honest look at what ties us together… and what drives us apart.",
Yung Boi: Ryze of the King,2025,10.0,"The rise to fame of Melbourne's next big rapper: Yung Boi. Facing adversity, challenges, confrontations, disagreements, inconveniences, problems, and more, he learns to overcome anything that gets in the way of his ride to the top.",
Crisantem,2025,10.0,,
Boys Trip 2025 - Texas,,10.0,"A Twitter love story. Four best friends from all around the country unite in Weatherford, Texas for their annual trip. Fun is had, rain is rained, crimes are committed, and friendships blossom in this heartwarming vlog.",
Idol,2025,10.0,"After facing backlash, Mark, a YouTuber, decides to stage his comeback by running a contest in which one lucky viewer will have the chance to join him in a video.",
Slashing Through the Snow,2024,10.0,"After being left home alone during Christmas with an escaped mental patient on the loose, Cindy decides to spend the holiday with her friends. What was thought to be a peaceful holiday, quickly turns into a nightmare, proving there is no such thing as a silent night.",
Gandhi Was Silent on Saturdays,2025,10.0,"The life of 16-year-old Mot is thrown into disarray when his father leaves the family. In protest, Mot brings home a homeless woman and declares that he will live with her.",
Spy Kids,2025,10.0,"A family of special agents is raising a son and two daughters, each of the teenagers has unique abilities. Mikhail is a computer genius, Vita knows hypnosis, Dana is a master of sports in martial arts. Together they created their own spy agency ""DaMiNik"". Their goal is to become super agents and find their mother, who was not found by the super agent ""Voice"" - their father.",
Deformelody: An American Nightmare,2025,10.0,"This horror satire tells the story of a pop culture-obsessed serial killer who terrorizes L.A. Through his Manifesto entries we discover his mission, to bring Americans together by killing everyone equally and confronting the ‘final boss’ - a man simply known as ‘Freddy’. A gleefully warped odyssey, through the psyche of America itself.",
LOS GALÁCTICOS: Rewind '23,2024,10.0,A group known as The Bagleys undergoes a profound transformation that redefines their identity. What begins as a harmonious coexistence becomes the birth of a new stage under the name of the Galacticos.,
BLINDED,,10.0,"Witness a terrifying tale of love, infidelity, and revenge! A cheating husband and his lover get more than they bargained for when their scandal is discovered.",
The View,2025,10.0,"A diary of a boy grappling with identity, love and belonging while exploring our fragile journey through a chaotic world.",
100 Things to Do Before High School,2014,10.0,"Scared of her older brother’s dull and pessimistic description of high school, as well as the change in priorities of her best friends Fen and Crispo, Cj, decides that she needs to make her time left in middle school count.",
DJ Freakjuice: Your Baby's Daddy,2023,10.0,"DJ Freakjuice decides to re-release ""You're Baby's Daddy,"" his #1 hit from 1999, and discovers that the song still has a magical effect on people.",
The Last Seat,2025,10.0,"The top boss won’t leave the last seat. Everyone tries to move them but fails. Then, one last person shows up. The Last Seat is a funny story about power.",
Aimee Comes First,2025,10.0,A late coming-of-age story about a Type-A Latina who lives with her overbearing Catholic family and tries to orgasm for the first time before her fast-approaching 40th birthday.,
Night of the Living Potato Head,2025,10.0,Tensions rise when Mr. Potato Head butts heads with Ellis and the roommates. It's only a matter of time until he returns with a vengeance.,
Marginalia,2025,10.0,"When a young monk gets creative in the scriptorium, things take an unexpected turn as his doodles come to life!",
Ginger's: A Picture Pals Short Film,2025,10.0,A group of friends are trying to decide what to order.,
"Pleasure, Bye",,10.0,"The tale of a struggling street performer, wandering the coastal streets of Galveston, Texas is unexpectedly approached by a mysterious figure who recruits him for a government experiment involving advanced, otherworldly technology. As the story unfolds, he must ultimately choose between his livelihood and his very survival.",
Snatch'D,,10.0,What looks like a perfectly normal infomercial for a dating app turns out to be something much more sinister.,
Jack and Tommy Try To Stop Terrorists,2025,10.0,"When terrorists take control of a university campus, two students, Jack and Tommy, are thrust into a deadly game as they fight to save a damsel in distress named Ashley.",
Vacation Plan,2024,10.0,"Siblings who go on vacation but get lost in an abandoned tourist spot due to their GPS error, so they experience strange & unexpected events.",
European Rice: The Journey of Beverly Ho-Billies,2025,10.0,"After a disastrous night at a bougie Los Angeles restaurant that ends in food poisoning and ER visits, chaotic duo Brittany and Tiffany demand justice, only to get challenged to a public cook-off by the restaurant’s pretentious chef. With zero culinary skills and a taste for drama, they set out on an outrageous journey around the world to learn about the beauty of rice.",
Imported Wives,2025,10.0,"Not everything that glitters is gold, and sometimes, what appears to be a perfect marriage hides a complex web of love, opportunity, and the pursuit of a better life.",
QAnon Avenue,,10.0,"A young puppet boy in search for the truth travels on a journey through the bowels of conspiracy, taking him from the depths of hell to the furthest reaches of space.",
We Are Happy Fish,2025,10.0,A nihilistic girl escapes from her family with a robot boy to revive a dead fish.,
Los Angles,2025,10.0,"Lacking a sense of life-direction, a young man falls stranded in a small desert town, unexpectedly finding friendship at the local DMV.",
manger la verité : est ce la verité ? question.,2025,10.0,,
Tamales,2025,10.0,"The film tells the story of Rosa, a tamale maker from the Quebrada de Humahuaca, who invested all her life savings in gold nuggets and suddenly passes away. Her physical disappearance unleashes the madness of her dystopian family, who enter into conflict over the fortune that Rosa left hidden. In the midst of the chaos, Matías, her beloved grandson, must decide whether to escape the madness or embrace his destiny.",
DEAD END,2025,10.0,A spirited teenager tricks her older sister into joining her on a deceptively simple outing.,
My Roommate's a Vampire,2025,10.0,"Wesley thinks his roommate Max who claims he is terminally ill is secretly a vampire. Is Max telling the truth, or will his deception get the best of Wesley?",
DONOVAN 17: THE WEEKEND WARS,2025,10.0,"While The Brilliant Brick was lost exploring in space, clone replacements were made... However there are now many clones at the house doing their own thing, until a new Donovan arrives, Donovan 17. Confused by the current state of affairs, he is guided by Cool Donovan who seems to have it all figured out, but a familiar face isn't very on board with the way things are being run...",
Pollastra All Along,2025,10.0,,
Fatta Posto,2025,10.0,"After reaching a crossroads in life, Henrik finds himself in deep reflection over what has been and that which is yet to come.",
Botnia Paradise,2025,10.0,Come on this journey on the Baltic Sea's cheapest cruise. In this musical comedy passengers running away from everyday life face off with crew desperately trying to keep the boat afloat.,
Revi Siterusah's Heart Voice,2025,10.0,"In a country where job requirements are often unreasonable,  a college student, pressured by the need to make ends meet, accepts a job as a video editor only to face vague requests and absurd demands.",
Avec Alice,2025,10.0,,
Yang Merdeka Itu Siapa?,2025,10.0,"Set in a high school navigating Indonesia’s new “Merdeka Curriculum,” this graduation film follows a group of students grappling with the pressures of modern education. As projects pile up and expectations rise, they begin questioning the very system that promised them freedom. Through reflection, resistance, and growth, they discover what it truly means to learn, and to be heard.",
Keyhole,2007,10.0,"'Have you ever seen anything in a shop window that you really want??... I borrow, enjoy for a while, then give back....' Ginger, a timid admin worker by day has an unusual hobby. Housespotting! The pioneer of this hobby she resides in opulent houses while their owners are on holiday. This year she breaks into the home of her vacationing boss to impress the man of her dreams - with murderous results!",
No Bar,2002,10.0,,
¿Crees en los milagros?,2025,10.0,,
Whisky et frénésie,,10.0,,
Chirichis,2023,10.0,,
Bag of Burden,2025,10.0,"When a hotheaded, unpredictable father coerces his reluctant, rough-around-the-edges son into a late-night trip to the woods to bury a mysterious bag, what starts as a tense and cryptic errand quickly unravels into a darkly comedic spiral of family dysfunction, long-buried secrets, and a series of increasingly absurd revelations--including the true nature of the bag's contents. As tempers flare and loyalties are tested, father and son find themselves teetering between crime, chaos, and an unspoken desire to understand each other--one twisted moment at a time.",
Fountain of Youth,2024,10.0,Wealthy CEO Julian Murphy receives a mixed response when he reveals his new technology to the public.,
Trash Joke & Trial Show Snippets,2019,10.0,Trash Joke & Trial Show Snippets - Stand up Comedy by Abhishek Upmanyu,
Names & Pigeons,2020,10.0,Names & Pigeons - Trash Jokes 4 Comedy by Abhishek Upmanyu,
"Relationships, Clubbing & Cocktails",2017,10.0,"Stand-Up Comedy by Aakash Gupta on Relationships, Clubbing & Cocktails + Train Journey & Honeymoon Trips ...",
Dogs,2019,10.0,"Stand-Up Comedy by Aakash Gupta - Dogs , Junior College and Galti Karli Inse Baat Karke ..",
Delhi Metro,2018,10.0,Stand-Up Comedy by Aakash Gupta on Delhi Metro ...,
Dead Weight Carries,2025,10.0,"Two self-serving friends go on a chaotic ride after hiding their friend’s corpse, only to find themselves unraveling in a darkly absurd spiral—hunted by a mysterious figure with unknown motives",
Virgil The Savant,2020,10.0,A high school student with savant syndrome goes through the motions of life and friendship.,
Capitalismo: A Fera Imortal,2023,10.0,,
Help! I'm a Fish The Movie 2,2025,10.0,A guy whose life is in the dump goes on a journey to rescue his mother after he neglects his Brita filter.,
The Latkes,2024,10.0,"On the night of the big holiday party, four friends go through a journey of chaos, forgetfulness, and missing grandmas.",
VIRGINS,,10.0,A coming of age short.,
Operation: Laugh Track,2025,10.0,"FBI agent Lucas Baker must go undercover as a bartender at a local comedy club. During his time behind the bar, he uncovers the secrets behind an underground criminal organization.",
Matapanki,2025,10.0,"After gaining alcohol-fueled superpowers, Ricardo —a young punk from the outskirts— sets out to change society. But one brutal mistake will ignite an international conflict, with him at the heart of the storm.",
Zach Zimmerman: SURPRISE ME,2025,10.0,"What is love? Queer comedian Zach Zimmerman searches for a definition - across evangelical trauma, ex-lovers, and glazed donuts – in this sweet, salty, magical debut stand-up special. Produced by Pretty Good Friends and filmed live in NYC in 4K.",
Oeil Pour Oeil Strass Pour Strass,2025,10.0,,
Hats Off!,2025,10.0,"Chris decides to switch up his style, but it comes with severe consequences.",
The Haunting of Dolly Parton,2021,10.0,A reclusive young woman fights for her life after inadvertently summoning a horde of evil ghosts masquerading as her country music idol.,
Fucking Detectives 3,2025,10.0,"Summers and Bailey must find a way to defeat their most powerful foe yet, the masked man.",
Ethirveetu Hero,,10.0,"Arivu, a struggling actor obsessed with ""the method"", gets cast in a high profile film to play the lead as a violent cop with a dark past. With just half a day to prepare, he decides to experiment a little with his noisy neighbours.",
The Trouser Thief,2025,10.0,"A darkly comedic horror mystery set in the Wiltshire countryside, The Trouser Thief follows a detective investigating a bizarre murder, uncovering strange occurrences and supernatural elements that lead to a mysterious, unsettling killer.",
Every Man in New York Is Named Andrew,2025,10.0,"Margo has never been in a relationship, and she thinks she'd be great at being in one. But everywhere she looks, there's just another guy named Andrew.",
The Choice: Illegal Dumping,,10.0,"The issue of illegal dumping is tackled by a group of Irish students, exposing the motives, behaviors and consequences of dumping around their local town.",
Turn Table,,10.0,"He's not just finding a record, he's changing the labels. On his quest to find one very specific album, A young man with Down syndrome connects with all genres of people and music alike.",
Niels Forsberg - Single Player,2018,10.0,,
Oozing,2025,10.0,"Maggie, with the help of her friend Charlize, deals with the anguish, pain and torment that is having a crush on someone. Her desires however are compromised when she finally goes on a date with the man of her... dreams?",
Gay Congress,2025,10.0,"It's election season in Gay City, and three candidates prepare for Debate Night.",
Telefone Sem Fio,2025,10.0,,
old memories,2025,10.0,,
For Archie,2025,10.0,Michael reflects on his relationship with his friend Archie,
Plant Parenthood,,10.0,"Ronald Mindell, a work-from-home florist, has always wanted to be a father. Following the loss of their unborn child, Ronald desperately wants to try again. His wife Margaret, condom designer, desires a new outcome for her life that is more career focused. After Ronald accidentally tosses a used condom on a sunflower causing it to come to life. He takes it in as his son, causing Margaret to rethink their relationship.",
Volley Joe Spikes Again,2025,10.0,"For a millennium, Volley Joe has remained uncontested as the Demi-God of Volleyball. It has been decades since a worthy challenger has surfaced.",
Lucifer,2025,10.0,,
Comandante Fritz,2025,10.0,"East German Stasi officer Fritz travels to Cuba with orders to thwart a suspected CIA operation against Fidel Castro. In Havana he meets Lola, a young woman who will both endanger his mission, and change the course of his life dramatically.",
HUNT,,10.0,A little girl sees an ad for a brand new doll that sends her and her mother on a wild chase to find the elusive product.,
For the Time Being,2025,10.0,"Three Greek intellectuals gather for the Great Summoning, a mysterious phenomenon that may take days to manifest. While they wait, they attempt to figure out what to do for the time being.",
Baby Tooth,2025,10.0,"Marina has enlisted the help of a stranger to get rid of either her baby tooth, or her boat, whichever he prefers.",
Brainstorming,2025,10.0,"Two students, Shafwan and Mirza, are looking for ideas for their mid-term film which has a deadline of one week. in the midst oh his lack of ideas, Mirza finds an instant way to get ideas.",
Los Jóvenes Simuladores,2018,10.0,"Overwhelmed by a complicated academic situation that threatens his continuity at the university, Vicentin decides to turn to the Young Simulators, a group that solves problems that no one else can solve.",
"WHISKEY, DARLING",2025,10.0,"When Harry's beloved car vanishes, his whiskey-soaked world unravels. In the chaos, a mysterious woman and buried secrets push him toward the edge. Whiskey, Darling is a comic tale of love, addiction, and delusion.",
Tropical SOV,2025,10.0,"Tropical SOV is a Brazilian anthology that brings together 23 independent filmmakers who bring to life 21 hilarious, strange and bizarre stories that could only happen in Brazil. From brains that produce cocaine to the incredible human videocassette, including the secrets of synthetic meat, baldness cures, castration of rapists, nihilistic fruits, magical sweets and the poop king of Evangelistão.",
The Prawno,2025,10.0,Mr Hartwell and Mr Horne pitch their prawny advertising strategy to bring business back into the fish aisle at the supermarket.,
Not A Biopic,2025,10.0,The typical love letter to cinema.,
Dangerous Man in the Woods vs Unknown Hero,,10.0,"A happy dude is enjoying a walk in the woods, unaware of a Dangerous Man stalking him. Soon the danger catches up to the innocent dude but soon an unknown hero shows up to battle the danger.",
